orth	code	typ MWE (wszystko OK = poprawna grupa składniowa niebędąca ani nazwą własną, ani deskrypcją określoną)	intuicyjnie termin?	intuicyjnie MWLU? (wg testu Słowosieci)	komentarz	wyraz uwięziony / znaczenie uwięzione	termin (wg procedury Słowosieci)	parafraza (wg procedury Słowosieci)	decyzja (wg procedury Słowosieci i kolumn D, E, F)	czy typ strukturalny N+Adj
opłaty aktywacyjnej	1.0	wszystko OK	NIE	NIE						
opłaty manipulacyjnej	1.0	wszystko OK	NIE	NIE						
opłaty skarbowej	[0. 1.]	wszystko OK	NIE	NIE						
oprawa audiowizualna	0.0	wszystko OK	NIE	NIE						
orbicie wokółziemskiej	1.0	wszystko OK	TAK	TAK						
orbitę okołoksiężycową	[0. 1.]	wszystko OK	TAK	TAK						
orkiestrę smyczkową	0.0	wszystko OK	NIE	NIE						
orogenezie alpejskiej	1.0	wszystko OK	TAK	TAK						
oscylatorem kwarcowym	1.0	wszystko OK	TAK	RACZEJ TAK						
osobowa załoga	[0. 1.]	wszystko OK	NIE	NIE						
osoby konsekrowane	0.0	wszystko OK	NIE	NIE						
ostatniej dekady	0.0	wszystko OK	NIE	NIE						
owczarek pirenejski	[0. 1.]	wszystko OK	TAK	TAK						
pancerz pryzmatyczny	[0. 1.]	wszystko OK	NIE	NIE	to chyba z Diablo :)					
papą termozgrzewalną	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
parafii katedralnej	1.0	wszystko OK	NIE	NIE						
parafii rzymskokatolickiej	1.0	wszystko OK	NIE	NIE						
parafii wójcińskiej	[0. 1.]	wszystko OK	NIE	NIE						
pasa asteroid	0.0	wszystko OK	NIE	RACZEJ NIE	pas planetoid					
pawel marczak	1.0	nazwa własna								
personelu pokładowego	1.0	wszystko OK	NIE	NIE						
pewne bambus	1.0	urwana fraza								
pęcherza moczowego	[0. 1.]	wszystko OK	TAK	TAK						
pętla indukcyjna	0.0	wszystko OK	TAK	TAK						
piany urynowej	[0. 1.]	wszystko OK	NIE	NIE						
piece kaflowe	0.0	wszystko OK	TAK	RACZEJ TAK						
pieczęć lakowa	1.0	wszystko OK	TAK	RACZEJ TAK						
pierwszych przymrozkach	1.0	wszystko OK	NIE	NIE						
pilastrami dźwigającymi	0.0	urwana fraza								
pióreczka pawie	[0. 1.]	wszystko OK	NIE	NIE						
plotek krążących	0.0	wszystko OK	NIE	NIE						
pluszowy miś	0.0	wszystko OK	NIE	NIE						
pławki dymnej	1.0	wszystko OK	TAK	TAK						
płozy sań	1.0	wszystko OK	NIE	NIE						
pobiała wapienna	1.0	wszystko OK	TAK	TAK						
pobierana opłata	1.0	wszystko OK	NIE	NIE						
pobór energii	0.0	wszystko OK	NIE	NIE						
pochodne kumaryny	0.0	wszystko OK	NIE	NIE						
pochwa liściowa	1.0	wszystko OK	TAK	TAK						
początkowym stadium	0.0	wszystko OK	NIE	NIE						
podłożu alergicznym	1.0	wszystko OK	NIE	NIE						
podstawę prawną	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
podstawowych potrzeb	0.0	wszystko OK	NIE	NIE						
pogorszenie stanu	0.0	wszystko OK	NIE	NIE						
pohukującą naganką	1.0	wszystko OK	NIE	NIE						
pokładzie lotniskowca	1.0	wszystko OK	NIE	NIE						
polak polakowi	[0. 1.]	wszystko OK	NIE	NIE						
polimerowym monolite	0.0	błąd - niepolska zbitka wyrazów								
poluzowanych zylek	0.0	błąd - literówka			 					
połamania piór	0.0	wszystko OK	NIE	NIE	"może chodzi o frazę ""połamania piór"" w analogii do ""połamania długopisów"" i ""połamania nóg"""					
poprawiany zgodnie	1.0	wszystko OK	NIE	NIE						
poradni diabetologicznej	[0. 1.]	wszystko OK	NIE	NIE						
porażeniem mózgowym	1.0	wszystko OK	TAK	TAK						
porozdzieranej fufajce	1.0	wszystko OK	NIE	NIE						
port szeregowy	0.0	wszystko OK	TAK	TAK						
porze obiadowej	1.0	wszystko OK	NIE	NIE						
posadzka bezpyłowa	1.0	wszystko OK								
postępowaniu klauzulowym	1.0	wszystko OK								
potężną moc	0.0	wszystko OK	NIE	NIE						
potłuczeniami ciała	0.0	wszystko OK	NIE	NIE						
potrzebujących rodzin	0.0	wszystko OK	NIE	NIE						
poważne konsekwencje	0.0	wszystko OK	NIE	NIE						
powłok elektronowych	[0. 1.]	wszystko OK	TAK	TAK						
pozawątrobowej zakrzepicy	[0. 1.]	urwana fraza								
pozew rozwodowy	1.0	wszystko OK	NIE	NIE						
poziom inteligencji	0.0	wszystko OK	NIE	NIE						
pozwolenia wodnoprawnego	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
półkul mózgowych	0.0	wszystko OK	TAK	RACZEJ TAK						
północnej części	[0. 1.]	wszystko OK	NIE	NIE						
północnym krańcu	0.0	wszystko OK	NIE	NIE						
późnostarożytnej kursywie	1.0	wszystko OK	NIE	NIE						
prawie antymonopolowym	1.0	wszystko OK	TAK	TAK						
prawym kolanie	1.0	wszystko OK	NIE	NIE						
procesie norymberskim	[0. 1.]	wszystko OK	TAK	TAK						
procesja różańcowa	1.0	wszystko OK	NIE	NIE						
prochu ziemi	1.0	wszystko OK	NIE	NIE						
proestrogenowych metabolitów	0.0	urwana fraza								
profilu użytkownika	1.0	wszystko OK	TAK	RACZEJ TAK						
proso rózgowe	1.0	wszystko OK	NIE	RACZEJ NIE	proso rózgowate					
prowincjał jezuitów	[0. 1.]	wszystko OK	NIE	NIE						
pryzmę kompostową	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
przelot awionetką	0.0	wszystko OK	NIE	NIE						
przepaskę biodrową	[0. 1.]	wszystko OK	NIE	NIE						
przeprowadzenie audytu	0.0	wszystko OK	NIE	NIE						
przestronne sale	0.0	wszystko OK	NIE	NIE						
przewodu pokarmowego	1.0	wszystko OK	TAK	TAK						
przyoraną podorywką	1.0	wszystko OK	NIE	NIE						
pułapce żwirowej	1.0	wszystko OK	NIE	RACZEJ NIE						
pułapek zastawianych	[0. 1.]	urwana fraza								
punktowaną ósemką	0.0	wszystko OK	NIE	NIE						
punktu kontaktowego	[0. 1.]	wszystko OK	NIE	NIE						
purytanizmu kalwinistycznego	1.0	wszystko OK	NIE	NIE						
puszki przyłączeniowej	[0. 1.]	wszystko OK	TAK	TAK						
puszystą sierść	0.0	wszystko OK	NIE	NIE						
rafa barierowa	1.0	wszystko OK	TAK	RACZEJ TAK						
raka przełyku	1.0	wszystko OK	NIE	RACZEJ TAK						
ramach funduszy	0.0	urwana fraza								
rampę załadowczą	1.0	wszystko OK	NIE	RACZEJ TAK						
rany szarpane	0.0	wszystko OK	TAK	TAK						
rasy huculskiej	0.0	wszystko OK	NIE	NIE	koń huculski					
raz kolejny	[0. 1.]	urwana fraza								
reflektorek halogenowy	0.0	wszystko OK	NIE	RACZEJ NIE						
renesansowy zamek	1.0	wszystko OK	NIE	NIE						
rękawkami bufkami	0.0	wszystko OK	NIE	NIE						
rękojeści rezonansowej	1.0	wszystko OK	TAK	RACZEJ TAK						
rocznicę beatyfikacji	0.0	wszystko OK	NIE	NIE						
rodowodowych rodzicach	1.0	wszystko OK	NIE	NIE						
rodziców adopcyjnych	1.0	wszystko OK	NIE	NIE						
rodzin dysfunkcyjnych	1.0	wszystko OK	NIE	NIE						
rozdziawioną buzią	1.0	wszystko OK	NIE	NIE						
rozdziawioną gębą	[0. 1.]	wszystko OK	NIE	NIE						
rozmyślnej peryfrastyczności	[0. 1.]	wszystko OK	NIE	NIE						
rozpalania ognia	0.0	wszystko OK	NIE	NIE						
rożnokolorowych ważek	0.0	wszystko OK	NIE	NIE						
róży damasceńskiej	0.0	wszystko OK	TAK	TAK						
ruchu precesyjnego	1.0	wszystko OK	TAK	TAK						
ruchu robotniczego	0.0	wszystko OK	NIE	NIE						
rupii nepalskich	1.0	wszystko OK	TAK	TAK						
rury wydechowej	1.0	wszystko OK	TAK	TAK						
rygorem odpowiedzialności	1.0	wszystko OK	NIE	NIE						
rynnie polodowcowej	1.0	wszystko OK	TAK	RACZEJ TAK						
saletrą amonową	1.0	wszystko OK	TAK	TAK						
samochów połykacz	0.0	błąd - niegramatyczna fraza								
samowładzę fabrykancką	1.0	wszystko OK	NIE	NIE						
sauna fińska	1.0	wszystko OK	NIE	RACZEJ TAK						
sądu wieczystoksięgowego	1.0	wszystko OK	NIE	RACZEJ NIE						
schizoidalna dwumyśl	[0. 1.]	błąd - niegramatyczna fraza								
seat toledo.na	[0. 1.]	błąd - niegramatyczna fraza								
seksowne stringi	0.0	wszystko OK	NIE	NIE						
sierści wielbłądziej	[0. 1.]	wszystko OK	NIE	NIE						
silikonowej gumce	1.0	wszystko OK	NIE	NIE						
sinusoidzie aproksymowanej	1.0	wszystko OK	NIE	NIE						
skarga paulińska	1.0	błąd - literówka								
sklepach muzycznych	0.0	wszystko OK	NIE	NIE						
skład zespołu	[0. 1.]	wszystko OK	NIE	NIE						
sobotniego wieczoru	0.0	wszystko OK	NIE	NIE						
spastyczny czterokończynowy	0.0	urwana fraza								
splotu barkowego	1.0	wszystko OK	TAK	TAK						
sporządzenie dokumentacji	0.0	wszystko OK	NIE	NIE						
sposób zapewniający	0.0	urwana fraza								
spółgłoskach bezdźwięcznych	1.0	wszystko OK	TAK	TAK						
spółką holdingową	[0. 1.]	wszystko OK	TAK	TAK						
sprawowania pieczy	0.0	wszystko OK	NIE	NIE						
sprzedający homary	0.0	wszystko OK	NIE	NIE						
standard życia	0.0	wszystko OK	NIE	NIE						
stawiania czoła	0.0	wszystko OK	NIE	NIE						
stokłosa bezostna	1.0	wszystko OK	TAK	TAK						
stopy redyskontowej	[0. 1.]	wszystko OK	TAK	TAK						
strzępiastym przędziwem	0.0	wszystko OK	NIE	NIE						
stylistycznymi mariażami	0.0	wszystko OK	NIE	NIE						
sufragan krakowski	1.0	wszystko OK	NIE	NIE						
suma odpustowa	[0. 1.]	wszystko OK	NIE	NIE						
superwytrzymałej kanonierce	1.0	wszystko OK	NIE	NIE						
sycylijskiej mafii	[0. 1.]	wszystko OK	NIE	NIE						
symulacje komputerowe	0.0	wszystko OK	NIE	NIE						
systemie zmianowym	0.0	wszystko OK	NIE	NIE						
szafy kartotekowe	0.0	wszystko OK	NIE	NIE						
szarża husarii	1.0	wszystko OK	NIE	NIE						
szczelnej obudowie	1.0	wszystko OK	NIE	NIE						
szelfie kontynentalnym	0.0	wszystko OK	TAK	TAK						
szkiełku mikroskopowym	[0. 1.]	wszystko OK	NIE	NIE						
szlaków handlowych	0.0	wszystko OK	NIE	NIE						
szlarką perkalu	1.0	urwana fraza								
sztukaterii elewacyjnej	0.0	wszystko OK	NIE	RACZEJ NIE						
sztukaterii gipsowej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
szum morza	[0. 1.]	wszystko OK	NIE	NIE						
szybciej pojmują	0.0	wszystko OK	NIE	NIE						
szyfr polialfabetyczny	[0. 1.]	wszystko OK	TAK	TAK						
ślepej kurze	1.0	urwana fraza	NIE	NIE	trafić się jak ślepej kurze ziarno					
śluzowej macicy	1.0	urwana fraza	NIE	NIE	błona śluzowa macicy					
śluzówki macicy	1.0	wszystko OK	NIE	TAK	śluzówka = błona śluzowa					
śpiączki cukrzycowej	1.0	wszystko OK	TAK	TAK						
światowym potentatem	0.0	wszystko OK	NIE	NIE						
świętowania jubileuszu	0.0	wszystko OK	NIE	NIE						
tablice informujące	0.0	wszystko OK	NIE	NIE						
tego materiału	0.0	wszystko OK	NIE	NIE						
ten parametr	0.0	wszystko OK	NIE	NIE						
terapia taktylna	0.0	wszystko OK	TAK	TAK						
termokurcza kozikiem	0.0	błąd - niegramatyczna fraza								
testy owulacyjne	0.0	wszystko OK	NIE	RACZEJ NIE						
tetrową pieluszką	[0. 1.]	wszystko OK	NIE	NIE						
tęgoryjec dwunastnicy	1.0	wszystko OK	TAK	TAK						
tętniaka aorty	1.0	wszystko OK	TAK	TAK						
tobago glazurowana	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
tolerancji glukozy	0.0	wszystko OK	NIE	NIE						
torf kwaśny	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
trawy cytrynowej	[0. 1.]	wszystko OK	TAK	TAK						
trójboczną apsydą	[0. 1.]	wszystko OK	NIE	NIE						
trzon zespołu	1.0	wszystko OK	NIE	NIE						
tuczonego indora	0.0	wszystko OK	NIE	NIE						
ubiegłoroczny zwycięzca	0.0	wszystko OK	NIE	NIE						
ucinki lufy	1.0	wszystko OK	NIE	RACZEJ NIE						
ukąszenia komara	0.0	wszystko OK	NIE	NIE						
umorzenie egzekucji	0.0	wszystko OK	NIE	NIE						
uprawiania turystyki	0.0	wszystko OK	NIE	NIE						
uprzedniego powiadomienia	0.0	wszystko OK	NIE	NIE						
uprzedniej zgody	[0. 1.]	wszystko OK	NIE	NIE						
uroczystości beatyfikacyjne	[0. 1.]	wszystko OK	NIE	NIE						
ustalonej kwoty	0.0	wszystko OK	NIE	NIE						
ustawna kuchnia	0.0	wszystko OK	NIE	NIE						
usunięcia uchybień	0.0	wszystko OK	NIE	NIE						
wachcie kotwicznej	[0. 1.]	wszystko OK	NIE	NIE WIEM						
wapieni rogowcowych	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
warkocz zapleciony	0.0	wszystko OK	NIE	NIE						
wartę honorową	1.0	wszystko OK	NIE	NIE						
wartości dodanej	0.0	wszystko OK	NIE	NIE						
weksel in	[0. 1.]	błąd - niepolska zbitka wyrazów								
wełny owczej	[0. 1.]	wszystko OK	NIE	NIE						
wentylacji pomieszczeń	0.0	wszystko OK	NIE	NIE						
weryfikacji autentyczności	1.0	wszystko OK	NIE	NIE						
węzeł północny	1.0	deskrypcja określona			północny węzeł księżycowy					
węzłów księżycowych	[0. 1.]	wszystko OK	TAK	TAK						
wiązki laserowej	0.0	wszystko OK	NIE	NIE						
wielkoockiego komsomołu	[0. 1.]	wszystko OK	NIE	NIE						
wierzący niepraktykujący	[0. 1.]	wszystko OK	NIE	TAK	potoczne określenie					
wieży obserwacyjnej	[0. 1.]	wszystko OK	NIE	NIE						
wikariusz parafii	1.0	wszystko OK	NIE	NIE						
will send	1.0	błąd - niepolska zbitka wyrazów								
wkładek topikowych	0.0	wszystko OK	TAK	TAK						
wkładki usznej	1.0	wszystko OK	TAK	RACZEJ TAK						
włoskowate przylgi	1.0	wszystko OK	NIE	NIE						
wojsk okupacyjnych	[0. 1.]	wszystko OK	NIE	NIE						
wolnomularskiej obediencji	1.0	wszystko OK	NIE	NIE						
wózku inwalidzkim	1.0	wszystko OK	NIE	TAK						
wskórania dziewczysko	0.0	urwana fraza								
współczynnik emisyjności	[0. 1.]	wszystko OK	NIE	NIE						
współczynnik korelacji	[0. 1.]	wszystko OK	NIE	NIE						
współczynnik przewodności	1.0	wszystko OK	NIE	NIE						
współczynnik rozszerzalności	1.0	wszystko OK	NIE	NIE						
współczynnik umieralności	[0. 1.]	wszystko OK	NIE	NIE						
współofiara hitleryzmu	1.0	wszystko OK	NIE	NIE						
wszystkie dobra	0.0	wszystko OK	NIE	NIE						
wybłyskami estetyczności	0.0	błąd - niegramatyczna fraza								
wydobycie rud	0.0	wszystko OK	NIE	NIE						
wykupione mieszkanie	0.0	wszystko OK	NIE	NIE						
wylęknionych dziejopisarzy	0.0	wszystko OK	NIE	NIE						
wysokich urzędników	0.0	wszystko OK	NIE	NIE						
wysokopłatną fuchę	0.0	wszystko OK	NIE	NIE						
wystającą kryzą	[0. 1.]	wszystko OK	NIE	NIE						
wytatuowany harleyowiec	0.0	wszystko OK	NIE	NIE						
wzorze sumarycznym	1.0	wszystko OK	TAK	TAK						
zakonu kamedułów	1.0	wszystko OK	NIE	NIE						
zakres wiedzy	0.0	wszystko OK	NIE	NIE						
zastępczą karę	1.0	wszystko OK	NIE	NIE						
zasuwy rejestrowe	1.0	wszystko OK	TAK	TAK						
zatoki szczękowej	1.0	wszystko OK	TAK	TAK						
zbór baptystów	1.0	wszystko OK	NIE	NIE						
zbór ewangelicki	1.0	wszystko OK	NIE	NIE						
zbór protestancki	[0. 1.]	wszystko OK	NIE	NIE						
zdolności adaptacyjne	0.0	wszystko OK	NIE	NIE						
zdrojówka rutewkowata	0.0	wszystko OK	TAK	TAK						
zdziadziały ramol	0.0	wszystko OK	NIE	NIE						
zespołów bólowych	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
zespołu abstynencyjnego	1.0	wszystko OK	TAK	TAK						
zespołu akrobacyjnego	1.0	wszystko OK	NIE	NIE						
zespołu badawczego	[0. 1.]	wszystko OK	NIE	NIE						
zeszłoroczny śnieg	0.0	wszystko OK	NIE	NIE						
zewnętrzną nagrywarkę	0.0	wszystko OK	NIE	NIE						
zębodołu poekstrakcyjnego	1.0	wszystko OK	NIE	RACZEJ NIE						
zgłębnika żołądkowego	1.0	wszystko OK	TAK	TAK						
zhydrolizowana placenta	0.0	wszystko OK	NIE	RACZEJ NIE						
złamania kości	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
zmazy grzechowej	1.0	wszystko OK	NIE	NIE						
zmiany statutu	0.0	wszystko OK	NIE	NIE						
znanych muzyków	0.0	wszystko OK	NIE	NIE						
zubożonego uranu	[0. 1.]	wszystko OK	NIE	NIE						
zwalniak hydrostatyczny	0.0	wszystko OK	TAK	RACZEJ TAK						
żłóbka betlejemskiego	1.0	wszystko OK	NIE	NIE						
żółtaczki wszczepiennej	1.0	wszystko OK	TAK	TAK						
żydowskiego pochodzenia	[0. 1.]	wszystko OK	NIE	NIE						
żylaki przełyku	1.0	wszystko OK	TAK	TAK						
żyroskopowego myszo	[0. 1.]	urwana fraza								
2008 01	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
sierpnia 2010	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1792 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1886 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1896 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1942 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
aktor pierwszoplanowy	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
alergii pokarmowej	1.0	wszystko OK			https://www.mp.pl/pacjent/alergie/chorobyalergiczne/choroby/57574,alergia-pokarmowa https://ncez.pzh.gov.pl/choroba-a-dieta/co-warto-wiedziec-o-alergii-pokarmowej/ 	NIE	TAK	TAK	MWLU	
alfabetu hebrajskiego	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
aluminiowa konstrukcja	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
armii niemieckiej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
belce tęczowej	[0. 1.]	wszystko OK			https://pl.wikipedia.org/wiki/Belka_t%C4%99czowa	NIE	TAK	NIE	MWLU	TAK
belek stropowych	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
bezczynność organu	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
bezdech śródsenny	1.0	wszystko OK			https://www.przegladokulistyczny.pl/bezdech_rdsenny_-_czynnik_ryzyka_jaskry	NIE	TAK	NIE	MWLU	TAK
bezinteresowna zawiść	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
bezpośredniego przełożonego	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
biegu jałowym	1.0	wszystko OK			https://www.smartdriver.pl/bieg-jalowy-co-oznaczaja-wolne-obroty-i-jazda-na-luzie	NIE	TAK	NIE	MWLU	TAK
bloków mieszkalnych	0.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
błędy wychowawcze	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
błonie międzykostnej	1.0	wszystko OK			in. membrana międzykostna	NIE	TAK	TAK	MWLU	TAK
bordiurą gronostajową	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
brabanckie korunki	[0. 1.]	błąd - niegramatyczna fraza			"""brabanckie korunki"" tylko u Słowackiego (Beniowski), u Lelewela pojawiają się ""korunki brabanckie"", natomiast współcześnie funkcjonuje tylko ""koronka brabancka""."				non-MWLU	NIE
bulli papieskiej	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
burej suce	1.0	wszystko OK				NIE	NIE	NIE	MWLU	NIE
całej gminy	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
ciśnienie gazu	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
części praktycznej	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
członków zespołu	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
czynników chemicznych	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
deplecji mitochondrialnej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
długiego kija	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
dobre auto	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
drapane kurze	1.0	urwana fraza							non-MWLU	NIE
dwór książęcy	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
dwurzędowy magazynek	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
ekstynkcji międzygalaktycznej	1.0	wszystko OK			https://encyklopedia.pwn.pl/haslo/ekstynkcja-miedzygalaktyczna;3897150.html	NIE	TAK	TAK	MWLU	TAK
endoskopowej dysekcji	1.0	urwana fraza			https://www.michalspychalski.com/metody-leczenia/esd/				non-MWLU	NIE
etatowych pracowników	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
fidelis kościołowi	[0. 1.]	błąd - niepolska zbitka wyrazów							non-MWLU	NIE
galaktyk spiralnych	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
godzinach nadliczbowych	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
godziny odjazdu	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
gołębim sercu	[0. 1.]	wszystko OK				NIE	NIE	NIE	MWLU	NIE
grafie dwudzielnym	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
grodziach wodoszczelnych	0.0	wszystko OK			http://uriasz.am.szczecin.pl/prace_dyplomowe/leksykon/glowna/definicje/definicje/grodz_wodoszczelna.html	NIE	TAK	NIE	MWLU	TAK
gronostajowej mantyli	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
gruczołowej przysadki	1.0	urwana fraza			prawdopodobnie tkanka/część gruczołowa przysadki mózgowej				non-MWLU	NIE
guza kulszowego	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
gwardian klasztoru	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
gwintowaną lufą	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
honorowych krwiodawców	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
honorowym patronem	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
hydrolaz glikozydowych	[0. 1.]	wszystko OK			https://encyklopedia.pwn.pl/haslo/hydrolazy-glikozydowe;3913532.html	NIE	TAK	TAK	MWLU	TAK
instrukcja warunkowa	1.0	wszystko OK			http://www.algorytm.edu.pl/instrukcja-warunkowa.html ; http://pages.mini.pw.edu.pl/~porterj/mossakow/vba/instrukcje_warunkowe.html	NIE	TAK	NIE	MWLU	TAK
jelita nadwrażliwego	1.0	urwana fraza			zespół jelita nadwrażliwego				non-MWLU	TAK
języka hindi	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	NIE
kaletki maziowej	1.0	wszystko OK			https://fizjoterapeuty.pl/anatomia/kaletka-maziowa.html	NIE	TAK	NIE	MWLU	TAK
kalifatu kordobańskiego	0.0	wszystko OK			in, kalifat kordoby https://pl.wikipedia.org/wiki/Kalifat_Kordoby	NIE	TAK	NIE	MWLU	TAK
kalifów prawowiernych	1.0	wszystko OK			https://pl.wikipedia.org/wiki/Kalifowie_prawowierni	NIE	TAK	NIE	MWLU	TAK
