przyjąć do wiadomości	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
staną przed sądem	Były szef szamotulskiej prokuratury , pani prokurator i pracownica sekretariatu prokuratury staną przed sądem za ukrywanie dokumentów i fałszowanie statystyk .
przyszedł na świat	22 . 05 . 1859 przyszedł na świat Conan Doyle , który stworzył Sherlocka Holmesa .
Bierzemy pod lupę	- Bierzemy pod lupę firmy handlujące długami szpitali - zapowiedział minister zdrowia Mariusz Łapiński .
usiedzieć na miejscu	- Bardzo dobry człowiek - odpowiedział gorąco i patrzył na Zośkę , która nie mogła usiedzieć na miejscu , wyręczyła Jaskólską w nalewaniu herbaty , pooglądała książki leżące na starej komodzie , podkręciła lampy , obejrzała szydełkową serwetę , jaką była nakryta maszyna do szycia , przygładziła dzieciom włosy i kręciła się po izbie jak fryga .
weszła w życie	Najnowsza ustawa , która weszła w życie w maju 2004 roku , precyzuje zasady udzielania tego typu pomocy oraz kryteria dochodowe , które muszą być spełnione , ale była ona bezpłatna - wyjaśnia Magdalena Gościniewicz , zastępca dyrektora Miejskiego Ośrodka Pomocy Rodzinie w Kielcach .
wchodzących w skład	Trwają już negocjacje z prezesami spółek wchodzących w skład ŚFUP-u .
robiące na drutach	Z nastaniem późnojesiennych chłodów na targu pojawiły się kobiety robiące na drutach bądź dziergające na szydełku z grubej włóczki skarpety lub papcie .
doszli do wniosku	Dopiero 3 kwietnia 1968 roku w Duke University , Irwin Fridovich i Joe McCord badający redukcję cytochromu c przez oksydazę ksantynową doszli do wniosku , że redukcja ta nie jest następstwem bezpośredniego kontaktu obu białek , lecz zachodzi za pośrednictwem uwalnianego przez oksydazę ksantynową wolnego rodnika - anionorodnika ponadtlenkowego .
zwrócił się z prośbą	Darek P . widząc , że jego zeznania nie przyniosły żadnego skutku , a Komor chodzi na wolności , sprzedaje majątek i dalej prowadzi swoje lewe interesy , zwrócił się z prośbą o pomoc do dziennikarzy .
dają się we znaki	Do 23 wzrosła wczoraj liczba ofiar śmiertelnych ulewnych deszczów , które od kilku dni dają się we znaki mieszkańcom południowo - zachodniej Japonii .
pozostawione same sobie	Tak do końca nie byłem był em tego pewien : co jak co , ale paliwa rakietowe wydzielają ogromną ilość energii i chyba byłyby były by w stanie , odpowiednio długo pozostawione same sobie , przepalić cienki w tym miejscu pancerz .
staniesz po stronie	Głos wywróżył , że w pracy " staniesz po stronie przełożonych " .
wpadam na pomysł	Ale nie widzę , więc wpadam na pomysł , by zresetować swój telefon .
ma do czynienia	TP chce więc od razu przetestować w sądzie , czy ma do czynienia z organem właściwie umocowanym , czy też nie .
wejdą w życie	Jednak zmiany , jeśli zostaną zaakceptowane przez Sejm , a później Senat i prezydenta , wejdą w życie najwcześniej za półtora roku .
miał niewyparzony język	Facet był najwyraźniej nieco konfliktowy , miał niewyparzony język , więc mógł kiedyś powiedzieć słowo za dużo .
jesteśmy w stanie	Jednak na podstawie dostępnych faktów wciąż nie jesteśmy w stanie powiedzieć , jakie były motywy uprowadzenia , dopóki porywacze się z nami nie skontaktują .
zdecyduje się udzielić kredytu	( Plafon oznacza , że rządowy ubezpieczyciel kredytu - w tym wypadku COFACE - udzieli gwarancji , o ile któryś z dwóch banków francuskich , z jakimi zawarł umowy Bank Handlowy , zdecyduje się udzielić kredytu ) .
dojść do wniosku	Porównując tempo sprzedaży krajowej z tempem eksportu można jedynie dojść do wniosku , iż wpływ eksportu na wzrost sprzedaży ogółem w krajach Unii był w WP jedynie nieco większy niż w MSP .
postawione w stan	Inne - kupione - zostały postawione w stan likwidacji .
będzie w stanie	Określeń jest wiele - pluskwa milenijna , problem roku 2000 ( PR 2000 ) , Y2K - ale wszystkie oznaczają jedno : o północy z 31 grudnia 1999 na 1 stycznia 2000 wiele setek milionów urządzeń elektronicznych na całym świecie może przestać działać , bo nie będzie w stanie poprawnie odczytać daty .
doprowadzać do rozpaczy	Z drugiej strony , wódz armii nacierającej miał wówczas dylemat , gdyż ta sama doktryna pouczała , żeby nie doprowadzać do rozpaczy słabszego nieprzyjaciela , zamykając mu wszystkie drogi odwrotu , bo wówczas budzi się w nim lew i może okazać się silniejszy .
ma podpisane umowy	Szpital , znany ze swej działalności w całej Polsce , ma podpisane umowy o udzielanie świadczeń zdrowotnych z kasami chorych : zachodniopomorską , branżową i lubuską .
wejściu w życie	Po wejściu w życie nowego prawa dewizowego , przedsiębiorstwa będą mogły kupować lub sprzedawać za granicą za złote .
oddanie do użytku	Mimo że budowa nowogardzkiego " Orlika " zakończyła się jeszcze w lipcu , oficjalne oddanie do użytku nastąpiło w miniony poniedziałek .
mające na celu	Spotkania , mające na celu właściwe przygotowanie się do rewitalizacji odbywają się cyklicznie we wszystkich miastach Polski , które przygotowują się do tego procesu .
starano się pogodzić	Drużyna wygrała rozgrywki NBA zaledwie w rok po okresie wrzawy , kiedy to starano się pogodzić z dominującą obecnością supergwiazdy Michael Jordana , a on sam borykał się z tym , w jaki sposób grać z mniej utalentowanymi kolegami klubowymi .
szansę wykazania się	Daje on młodym ludziom szansę wykazania się umiejętnościami organizatorskimi .
cierpiącego na zaburzenia	Z tego typu zaufania pacjenta cierpiącego na zaburzenia erekcji wyłączone są jednak pielęgniarki .
Wyszło na jaw	Wyszło na jaw , że pracownicy działów mieli powód , żeby nas lekceważyć , każdy z nich zarabiał oczywiście na kolejny punkt w swoim CV , co warte było uwagi , tyle że musiały ich utrzymywać jakieś matki czy ciotki albo chodzili do pracy na piechotę , albo jedli w kółko suchary .
nie ma mowy	Po trzecie , nie ma mowy o jakichkolwiek negocjacjach politycznych , a jedynie o warunkach powrotu Maschadowa do życia w warunkach pokojowych .
wchodziła w życie	Gdy wchodziła w życie reforma edukacji , Jerzy Buzek otwierał rok szkolny i prezentował gimbusy .
mającą na celu	Zatem " określenie " Namiestnik Chrystusa " . . . wskazuje nie tyle na godność , co na służbę : pragnie podkreślić zadanie Papieża w Kościele , jako posługę Piotrową , mającą na celu dobro Kościoła i wiernych " .
dojście do głosu	Okres andrzejkowych wróżb jest takim właśnie okresem , gdzie każdy może sobie pozwolić na dojście do głosu tego " pierwotnego człowieka " w sobie , bez obaw , że zostanie to źle przyjęte . . .
wyrzucił z siebie	- To syn mój - wyrzucił z siebie ojciec , niczym nowinę .
nie ma co	Ale nie ma co ukrywać : islam jest religią patriarchalną .
jesteśmy w stanie	76-letni dziś twórca ma coraz mniej wiary w człowieka : " Nie jesteśmy w stanie utrwalić żadnych wartości , zachowań ani stereotypów .
doszedł do wniosku	Po czterech latach doszedł do wniosku , że rzeczy , które można kupić , dzielą się na dobre , bardzo dobre i świetne .
przyszło na świat	Dlatego właśnie tam przyszło na świat „ milenijne dziecko " .
bazgrała jak kura pazurem	Sama bazgrała jak kura pazurem i ojciec strofował ją żartobliwie za brak staranności .
na własne oczy widział	Mieszkał em naprzeciwko , na własne oczy widział em , co się tam działo .
mają we krwi	Będą nam za to służyły , jak to mają we krwi , oczyszczając nasze otoczenie z gryzoni .
chcąc nie chcąc	Ale w pracy często mi się winda psuje , więc , chcąc nie chcąc , biegając po schodach , dbam o linię .
spędzała sen z powiek	Przez dwa lata działalność 43-letniego szantażysty spędzała sen z powiek niemieckim konsumentom .
działać na szkodę	Bezpośrednimi beneficjentami dobrych praktyk są oczywiście akcjonariusze , którzy dzięki nim zyskują większą pewność , że inni udziałowcy lub menedżerowie nie będą działać na szkodę przedsiębiorstwa .
mieli za zadanie	Informacje zbierali pracownicy , którzy mieli za zadanie obejść wszystkie ulice miasta i odwiedzić każdą firmę , jaka się przy nich znajduje .
ruszyli w drogę	Posilili się i znów ruszyli w drogę , ale wnet opanowało ich takie znużenie , że usiedli i nawet posnęli .
mam w zwyczaju	Ten zaprzecza , tłumacząc , że dopiero wczoraj po dziesięciu dniach wrócił do kraju : - Nie mam w zwyczaju telefonować z zagranicy i ustalać cen węgla - powiedział nam .
wziąć pod uwagę	Okazuje się , że głuchoniemi ciągną z tej działalności zyski , skromne wprawdzie , lecz wiele warte , jeśli wziąć pod uwagę , jak trudno znaleźć im normalnie płatną pracę .
mieć za złe	Nikt nie powinien mieć za złe autorowi , że mówi , co myśli .
przychodzi na świat	W Stanach Zjednoczonych co czwarte dziecko przychodzi na świat dzięki cesarskiemu cięciu .
jest w stanie	Jeśli istnieje coś , co jest w stanie zjednoczyć wszystkich Greków , niezależnie od tego , kim są i jakie wyznają poglądy , to jest to bez wątpienia problem Cypru .
rzuca się w oczy	W numerze wydanym przez Movex rzuca się w oczy kilkustronicowy wstępniak .
zamykać się w sobie	Po drugie , zadbaj , aby nie " zamykać się w sobie " i utrzymać kontakt ze swoimi uczuciami ( bądź świadomy swoich uczuć w związku z tą sytuacją ) .
brać pod uwagę	Jeśli brać pod uwagę ideologię , którą raczy nas od pół roku PiS i jego stabilizatory na temat np . wolności słowa , to na pewno nie .
na scenę wkroczył	Po tym orzeczeniu na scenę wkroczył Ogólnopolski Związek Zawodowy Lekarzy .
zdaję sobie sprawę	Nie mówiąc o tym , że staram się regularnie uczęszczać na analogiczne poranki moich kolegów i zdaję sobie sprawę , ile te spotkania zawdzięczają , gdy chodzi o ich klimat , osobistemu wkładowi prowadzącego je dyrektora Biblioteki .
wystąpienie z wnioskiem	To właśnie jego posłowie PiS winią za wystąpienie z wnioskiem o odznaczenie generała .
miał na celu	Z artykułu historyka Józefa Długosza , o uczniach kolegium w latach 1643 - 1670 : Lubomirski , fundując kolegium pijarów w Podolińcu , miał na celu szerzenie oświaty i przywrócenie katolicyzmu w miastach spiskich , które od 1412 roku należały do Polski .
mieli przed sobą	Jednak dalsze trwanie życia się wydłuża i za 40 lat , według prognoz demograficznych , Polacy w wieku 60 lat będą mieli przed sobą ( statystycznie rzecz ujmując ) niemal 24 lata życia , a w wieku 65 lat - niemal 20 lat .
jest na rękę	Być może taka sytuacja jest na rękę niezbyt sprawnym organom ścigania karnego .
doprowadzić do powołania	Zdaniem wybitnego prawnika nadanie nowych zadań dla KRS musiałoby musiało by doprowadzić do powołania nowej i kosztownej struktury , składającej się z sędziów wyłączonych z orzekania , którzy - w ocenie byłego I prezesa Sądu Najwyższego - wcześniej czy później wyalienowaliby wyalienowali by się od rzeczywistości w pracy wymiaru sprawiedliwości .
sobie nie życzę	Ja jako podatnik sobie nie życzę , żeby ktoś defraudował 500 milionów zł , a Stadion Dziesięciolecia czy Stadion Narodowy stał pusty za 800 milionów zł .
mysz nie prześliźnie się	- Nawet mysz nie prześliźnie się przez las Weipert .
zdawać sobie sprawę	- Państwo nareszcie zaczyna zdawać sobie sprawę , że nie potrafi sprawnie zarządzać ośrodkami zdrowia i że na racjonalnej prywatyzacji placówek skorzystają wszyscy - finanse publiczne , inwestorzy , a w szczególności pacjenci - twierdzi prof . Jacek Ruszkowski , dyrektor Centrum Zdrowia Publicznego Wyższej Szkoły Przedsiębiorczości i Zarządzania im . Leona Koźmińskiego w Warszawie .
Mamy do czynienia	- Mamy do czynienia z poważnym błędem w sztuce lekarskiej - oburza się , ale zastrzega , że o bezpośredniej przyczynie zgonu będzie się mógł wypowiedzieć dopiero po otrzymaniu oficjalnej ekspertyzy z Zakładu Medycyny Sądowej .
jest w stanie	Jego kosztów nie jest w stanie udźwignąć samodzielnie ani gmina , ani kopalnia " Bolesław Śmiały " .
stały pod znakiem	Czwartkowa noc i piątkowy ranek w regionie północno - wschodnim stały pod znakiem burz i silnego , porywistego wiatru .
zaprząta sobie głowy	Od dwóch tygodni ćwiczy z klasą kroki poloneza , natomiast nie zaprząta sobie głowy myślami o balowej kreacji .
tak się składa	Skoro jednak jestem za pluralizmem politycznym a tak się składa , że jestem , to wolałbym wolał by m , żeby partie i ugrupowania polityczne wchodzące w skład ruchu oporu były porządne i miały głowę na karku , a nie tylko gorące serca i dobre chęci ( do wykańczania konkurentów ) .
wchodzące w skład	Skoro jednak jestem za pluralizmem politycznym a tak się składa , że jestem , to wolałbym wolał by m , żeby partie i ugrupowania polityczne wchodzące w skład ruchu oporu były porządne i miały głowę na karku , a nie tylko gorące serca i dobre chęci ( do wykańczania konkurentów ) .
miały głowę na karku	Skoro jednak jestem za pluralizmem politycznym a tak się składa , że jestem , to wolałbym wolał by m , żeby partie i ugrupowania polityczne wchodzące w skład ruchu oporu były porządne i miały głowę na karku , a nie tylko gorące serca i dobre chęci ( do wykańczania konkurentów ) .
Było nie było	- Było nie było , bardzo dziękujemy i zabieramy wózek .
szły w górę	Już od pewnego czasu mówiło się , że spółki informatyczne są przewartościowane , a one ciągle szły w górę - mówi Benita Mikołajewicz , analityk ING Barings .
wprowadzenia do obrotu	Bez uszczerbku dla praw twórców lub artystów wykonawców , producentowi fonogramu lub wideogramu przysługuje wyłączne prawo do rozporządzania i korzystania z fonogramu lub wideogramu w zakresie : 1 ) zwielokrotniania określoną techniką , 2 ) wprowadzenia do obrotu , 3 ) najmu oraz użyczania egzemplarzy , 4 ) publicznego udostępniania fonogramu lub wideogramu w taki sposób , aby każdy mógł mieć do niego dostęp w miejscu i w czasie przez siebie wybranym .
zdaje sobie sprawę	Niewielu z nas zdaje sobie sprawę , że przeciwieństwie do nas - ludzi zwierzęta bardzo źle znoszą wybuchy sylwestrowych petard .
mlekiem i miodem płynącego	A do nas - kraju mlekiem i miodem płynącego - jakoś Ci głupi zniewoleni Amerykanie nie chcą imigrować za chlebem . ;-)))
rzuca się w oczy	Dlaczego kiedy premier Polski - tak jak premier Cimoszewicz przed kilkoma miesiącami - odwiedza Izrael , jedyne , co rzuca się w oczy , to stare waśnie i nieporozumienia , które czają się przy każdym punkcie programu wizyty ?
się palą ze wstydu	Niech się palą ze wstydu , gdy Polska będzie płacić Niemcom za prąd pochodzący z takiego źródła , jak właśnie elektrownie atomowe .
wcielić w czyn	Dlatego Wałęsa może dziś twierdzić , że " demokracja mu nie pozwoliła " wcielić w czyn paru zbawiennych pomysłów - choćby owych 100 milionów .
uderza po kieszeni	To również uderza po kieszeni polskiego rolnika , ale minister Jurgiel nie potrafi dogadać się z Rosjanami od listopada , a z Białorusią od końca stycznia .
mają na celu	Działania te , w które zaangażowane jest całe kierownictwo państwa , mają na celu uzyskanie jak najkorzystniejszych warunków członkostwa Polski w UE .
Chcąc nie chcąc	Chcąc nie chcąc , podjął się jednak leczenia w przychodni , mimo że specjalista uznał to za zbyt ryzykowne .
nie ma co	Dlatego nie ma co deliberować o tym , jak to będzie za tydzień , czy za kilka miesięcy .
dają za wygraną	Polscy producenci nie dają za wygraną , dotrzymując kroku modzie i zachodnim nowinkom .
przyjdzie do głowy	Metoda ta polega na dokańczaniu zaczętych zdań lub odpowiadaniu na pytania bez użycia intelektu , " pierwszą lepszą " myślą , która przyjdzie do głowy , np . Jestem zły , bo . . . ( odpowiedź ze sfery podświadomej ) drażni mnie zachowanie niektórych ludzi .
na końcu jeżyka pytanie	Miał już na końcu jeżyka pytanie , ile waży Diglator , ale nie chcąc się blamować ignorancją , wziął latarkę od Gossego i ruszył wzdłuż stopy olbrzyma .
mam na myśli	Ma obowiązek objawić rzeczywistość swoją i rzeczywistość swojego otoczenia , to znaczy tę , która wpływała na kształtowanie jego rzeczywistości , w tym wypadku mam na myśli naród - kończy Vilbert recytując to z powagą niby werset Pisma świętego w Wielki Piątek .
wejdzie w życie	Jeśli eksperyment powiedzie się , nowy przepis wejdzie w życie jeszcze przed mistrzostwami świata w USA - powiedział sekretarz generalny FIFA Sepp Blatter w wywiadzie dla belgijskiej gazety " Het Nieuwsblad " .
mającą na celu	- Jest natomiast proponowana uchwała decyzją doraźną , mającą na celu już dziś , teraz , ukrócenie praktyk prowadzących , jak dotąd , do wzrostu kosztów utrzymania .
poprzestanie na małem	Mąż Tomasza Międzika jest zadowolonym z siebie safandułą , którego dewizą jest " poprzestanie na małem " .
owijania w bawełnę	Dołączę się i ja do głosu Mathiasrexa , bez owijania w bawełnę : rodzice Lucpola powinni beknąć za to , że takie bzdury smarkacz wypisuje .
jest w stanie	Na obiedzie usłyszał em , że pewnej mojej prośby Cheng nie jest w stanie spełnić .
Bo ja wiem	Bo ja wiem . . . z moich znajomych może połowa .
ma do wyboru	" Unia ma do wyboru kilka opcji : od porzucenia projektu konstytucji poprzez próby ratyfikowania tekstu w obecnej formie , wyjaśnienia , lub uzupełnienia jego bieżącej wersji , zmianę obecnego tekstu celem jego poprawienia aż po gruntowne przeredagowanie tekstu " - czytamy w rezolucji .
weszła w życie	Umowa weszła w życie 1 czerwca 1994 r .
utrzymać w mocy karę	Iran zaprzeczył , jakoby sąd apelacyjny w Teheranie miał utrzymać w mocy karę śmierci , wymierzoną przez sąd niższej instancji niemieckiemu biznesmenowi , oskarżonemu o utrzymywanie stosunków seksualnych z irańską kobietą .
narażenie na niebezpieczeństwo	Kobiecie i jej partnerowi przedstawiono zarzuty " nieumyślnego spowodowania śmierci i narażenie na niebezpieczeństwo dziecka " .
korzystać z pomocy	We wsi nie ma masażysty , więc trzeba korzystać z pomocy najbliższych .
nosił w sobie	Krzesimir Dębski po obejrzeniu pierwszego montażu może wreszcie zacząć komponować muzykę , którą zresztą nosił w sobie od rozpoczęcia pierwszych zdjęć .
są w stanie	Dyrektorzy , nauczyciele , uczniowie mają wiele pytań , na które nie są w stanie uzyskać konkretnych odpowiedzi .
wystąpią w roli	Do przewodniczenia procesowi impeachmentu zaprzysiężono prezesa Sądu Najwyższego Williama Rehnquista i stu senatorów , którzy wystąpią w roli ławy przysięgłych .
zajście w ciążę	Natomiast dr Gręziak powiedziała wczoraj , że zapłodnienie pozaustrojowe - choć umożliwia zajście w ciążę - w ogóle nie jest leczeniem niepłodności .
wziąć w nawias	Ale spróbujmy wziąć w nawias całą dotychczasową wiedzę o Wieniawie i spojrzeć na niego tak , jakby śmy dysponowali tylko tą najnowszą książką .
Miała za sobą	Miała za sobą ciężki dzień .
stanęły przed oczami	Tym razem chyba wszystkim stanęły przed oczami obrazy z walki Gołota - Lewis .
zajmuje się sprawowaniem władzy	- Wiele tysięcy osób w Polsce udaje , że zajmuje się sprawowaniem władzy za pieniądze podatników - uzasadnia konieczność cięć Donald Tusk .
nie ma co	Po jego śmierci Jadzia uznała , że nie ma co , w łapę i tak nie da , a bez tego prędzej człowiek strzeli w kalendarz , niż dostanie numer ; zresztą do kogo , pytała retorycznie , miałaby miała by dzwonić i na jakie telefony czekać , skoro skończyła na tym bocianim gnieździe samotna i opuszczona .
strzeli w kalendarz	Po jego śmierci Jadzia uznała , że nie ma co , w łapę i tak nie da , a bez tego prędzej człowiek strzeli w kalendarz , niż dostanie numer ; zresztą do kogo , pytała retorycznie , miałaby miała by dzwonić i na jakie telefony czekać , skoro skończyła na tym bocianim gnieździe samotna i opuszczona .
skierowała akt oskarżenia	Sprawę prowadziła Prokuratura Rejonowa w Pruszczu Gdańskim , która skierowała akt oskarżenia przeciwko Marianowi P . do Sądu Rejonowego w Gdańsku .
nie ma co	Chyba nie ma co liczyć na grad medali .
leży w rękach	Teraz ich los leży w rękach wojewody .
wychodzi z siebie	Matka wychodzi z siebie : krzyczy , czasem szarpnie .
dostał w nagrodę	Za sportowe audi , jakie dostał w nagrodę , musiał by zapłacić 5 proc . cła , 22 proc . VAT-u i 6,4 proc . akcyzy .
przebywają na wakacjach	Pieniądze będą wykorzystane na zakup ubrań i przyborów szkolnych dla siedmiorga dzieci powodzian z Sokolnik , które przebywają na wakacjach w Górze .
powołano do życia	W celu rozpatrywania sporów dotyczących czynszów najmu i dzierżawnych powołano do życia 12 sądów ds . czynszów najmu i drugie tyle ds . czynszów dzierżawnych .
kłamał jak z nut	Podczas wyborów prezydenckich w 1995 r . Kwaśniewski kłamał jak z nut , że jest magistrem .
wyszły na jaw	Po krótkim dochodzeniu wyszły na jaw związki z kradzieżą rzeźb dokonaną w styczniu z kościoła w Limanowej .
staną na ślubnym kobiercu	Zanim jednak staną na ślubnym kobiercu , podpiszą umowę , według której w przypadku rozwodu każde z nich zachowa prawo do swojego majątku .
zajść w ciążę	Ale prezenterka nie wiedziała , kiedy miałaby miała by zajść w ciążę , bo to mogło pokrzyżować jej plany zawodowe .
będzie w stanie	- Ilekroć pan minister będzie w stanie wykonać cięcia budżetowe i przesunąć te pieniądze na służbę zdrowia , to będziemy popierać z entuzjazmem - mówi Rokita .
Nie ma co	Nie ma co udawać - akurat polską prawicą gardził wyjątkowo .
wejścia w życie	Im starsza w dniu wejścia w życie reformy była osoba , tym wyższy będzie jej kapitał początkowy .
weszło w życie	Z nowym rokiem weszło w życie nowe prawo dewizowe .
jak ognia unika	Pani sędzia jak ognia unika dziennikarzy .
spowodowane starzeniem się	Ponieważ w przyszłości prognozowane jest zmniejszenie się liczebności siły roboczej , spowodowane starzeniem się społeczeństwa , prawdopodobnie wskaźnik waloryzacji kont w dalszej perspektywie będzie niższy od wzrostu przeciętnego wynagrodzenia .
mamy do czynienia	- Z całą odpowiedzialnością stwierdzam , że mamy do czynienia z bardzo poważnym kryzysem wewnątrz koalicji - powiedział wczoraj na spotkaniu z dziennikarzami Jerzy Osiatyński , poseł na Sejm .
